COD_MUNIC_IBGE,MUNIC_PROPONENTE,UF_PROPONENTE,IDENTIF_FORNECEDOR,count,soma_por_fornecedor
1100056,CEREJEIRAS,RO,12587816000142,1,8e4
1100056,CEREJEIRAS,RO,12753213000173,1,53e4
1100056,CEREJEIRAS,RO,13465318000190,3,484881.79000000004
1100056,CEREJEIRAS,RO,13618408000173,49,5389845.41
1100056,CEREJEIRAS,RO,14326080000184,4,213970.8
1100056,CEREJEIRAS,RO,17974134000106,1,309900.0
1100056,CEREJEIRAS,RO,18071509000190,20,1204916.8
1100056,CEREJEIRAS,RO,18093163000121,2,12e4
1100056,CEREJEIRAS,RO,18529304000106,10,502532.75
1100056,CEREJEIRAS,RO,19614838000101,1,93999.0
1100056,CEREJEIRAS,RO,22862072000180,8,1467277.35
1100056,CEREJEIRAS,RO,60850617000128,2,804980.0
1100056,CEREJEIRAS,RO,84706423000111,6,562295.94
1100056,CEREJEIRAS,RO,92536010000164,5,22690.25
1100056,CEREJEIRAS,RO,95863684000161,2,163250.0
1100064,COLORADO DO OESTE,RO,01072398000134,1,66012.95
1100064,COLORADO DO OESTE,RO,01824931000177,2,361900.0
1100064,COLORADO DO OESTE,RO,03614482000168,1,126400.0
1100064,COLORADO DO OESTE,RO,03987438000101,4,86295.58
1100064,COLORADO DO OESTE,RO,04539356000159,5,237500.0
1100064,COLORADO DO OESTE,RO,04774824000170,1,27950.0
1100064,COLORADO DO OESTE,RO,05043720000158,2,107360.0
1100064,COLORADO DO OESTE,RO,05054404000424,2,28073.620000000003
1100064,COLORADO DO OESTE,RO,05062571000174,1,73e3
1100064,COLORADO DO OESTE,RO,05559588000131,1,17e3
1100064,COLORADO DO OESTE,RO,05754692000187,2,36255.0
1100064,COLORADO DO OESTE,RO,05797417000140,1,24543.9
1100064,COLORADO DO OESTE,RO,06067041000181,3,575215.8
1100064,COLORADO DO OESTE,RO,07164059000164,7,774459.4400000001
1100064,COLORADO DO OESTE,RO,07387935000111,1,108e3
1100064,COLORADO DO OESTE,RO,09428334000135,7,1043804.97
1100064,COLORADO DO OESTE,RO,09497648000190,1,10384.0
1100064,COLORADO DO OESTE,RO,11488758000137,1,36740.0
1100064,COLORADO DO OESTE,RO,14594006000149,4,1036464.03
1100064,COLORADO DO OESTE,RO,15402317000121,13,735973.18
1100064,COLORADO DO OESTE,RO,18243833000149,10,1268173.78
1100064,COLORADO DO OESTE,RO,19614838000101,1,115e3
1100064,COLORADO DO OESTE,RO,22862072000180,7,1304055.15
1100064,COLORADO DO OESTE,RO,22881858000145,3,199450.28
1100064,COLORADO DO OESTE,RO,88611835000803,1,212e3
1100064,COLORADO DO OESTE,RO,95863684000161,1,93500.0
1100072,CORUMBIARA,RO,00844739000180,1,53037.17
1100072,CORUMBIARA,RO,01824931000177,1,174e3
1100072,CORUMBIARA,RO,02364225000152,8,974131.02
1100072,CORUMBIARA,RO,03552842000144,1,97500.0
1100072,CORUMBIARA,RO,04233946000159,1,116999.0
1100072,CORUMBIARA,RO,04252060000152,1,53e3
1100072,CORUMBIARA,RO,04749241000199,5,684628.23
1100072,CORUMBIARA,RO,05043720000158,1,6250.0
1100072,CORUMBIARA,RO,07164059000164,5,173006.86
1100072,CORUMBIARA,RO,08440584000128,1,1e5
1100072,CORUMBIARA,RO,09497648000190,1,91499.0
1100072,CORUMBIARA,RO,10320348000110,4,67145.91
1100072,CORUMBIARA,RO,10726497000183,5,63837.68
1100072,CORUMBIARA,RO,11568203000103,1,19911.49
1100072,CORUMBIARA,RO,12103781000129,4,602500.0
1100072,CORUMBIARA,RO,14594006000149,3,1049800.0
1100072,CORUMBIARA,RO,14594006000300,1,23e4
1100072,CORUMBIARA,RO,15332890000106,1,105e3
1100072,CORUMBIARA,RO,15359395000190,2,443250.0
1100072,CORUMBIARA,RO,18071509000190,5,237943.56
1100072,CORUMBIARA,RO,19614838000101,6,99698.0
1100072,CORUMBIARA,RO,22862072000180,1,256750.32
1100080,COSTA MARQUES,RO,03552842000144,3,73020.0
1100080,COSTA MARQUES,RO,04996600000102,1,107500.0
1100080,COSTA MARQUES,RO,05021677000120,3,610109.53
1100080,COSTA MARQUES,RO,05043720000158,1,27360.0
1100080,COSTA MARQUES,RO,05062571000174,2,163099.99
1100080,COSTA MARQUES,RO,05559588000131,3,28949.9
1100080,COSTA MARQUES,RO,07128204000151,2,43922.799999999996
1100080,COSTA MARQUES,RO,10408092000105,2,14264.0
1100080,COSTA MARQUES,RO,10430483000118,8,628910.08
1100080,COSTA MARQUES,RO,11868284000159,7,341812.32
1100080,COSTA MARQUES,RO,12103781000129,2,79320.0
1100080,COSTA MARQUES,RO,12587816000142,1,52850.0
1100080,COSTA MARQUES,RO,12753213000173,1,73500.0
1100080,COSTA MARQUES,RO,16850663000135,1,147490.0
1100080,COSTA MARQUES,RO,17974134000106,1,226e3
1100080,COSTA MARQUES,RO,60850617000128,1,505455.0
1100098,ESPIGAO D'OESTE,RO,01745733000118,1,47960.0
1100098,ESPIGAO D'OESTE,RO,01824931000177,1,18e4
1100098,ESPIGAO D'OESTE,RO,02330450000178,21,2349721.22
1100098,ESPIGAO D'OESTE,RO,03222596000162,1,71938.49
1100098,ESPIGAO D'OESTE,RO,03242329000157,2,96912.0
1100098,ESPIGAO D'OESTE,RO,03483599000150,1,81800.0
