cidade,UF,gini_valor_convenio,gini_valor_fornecedor,coef
DIAS D'AVILA,BA,0.3218167935591314,0.6833956783115505,2.1235550536488135
EUCLIDES DA CUNHA,BA,0.32080035291812603,0.41976099105578735,1.3084804528345324
FEIRA DE SANTANA,BA,0.34257271164704584,0.8307841448435491,2.4251322904537407
GANDU,BA,0.2544897340050527,0.37739045617004097,1.482929980046064
GLORIA,BA,0.4872765378808044,0.6565954785032249,1.347480183139535
GUANAMBI,BA,0.27471361204689426,0.4436935766661523,1.6151131840908297
IBIPEBA,BA,0.44855349163744584,0.7310812532249684,1.6298641452018445
IBITITA,BA,0.3078172023031893,0.7296859410305245,2.3705170977150556
IGAPORA,BA,0.15324963413105985,0.34995917739811144,2.2835889911412424
IPUPIARA,BA,0.38735887530926805,0.6704161494509612,1.7307365138224848
IRARA,BA,0.34179864582854114,0.6602140376799068,1.9315876342327425
IRECE,BA,0.29132178018095,0.6250232782935394,2.145473908285594
ITABERABA,BA,0.2739929880045371,0.38514216935718193,1.4056643279893144
ITABUNA,BA,0.35932319230303333,0.8555648365856636,2.3810454067883473
ITAGUACU DA BAHIA,BA,0.39395426500398134,0.4659527145105127,1.1827583958401966
ITANHEM,BA,0.33848662007206887,0.7025680118673696,2.0756153130005033
ITUBERA,BA,0.4572700087589183,0.6660064316938425,1.4564839568233616
JACARACI,BA,0.2571967075094781,0.49067457819801663,1.9077793916935524
JACOBINA,BA,0.34167989505871965,0.5903955397896163,1.7279200454219101
JEQUIE,BA,0.5777470920455605,0.8098717001607482,1.4017754676935397
JOAO DOURADO,BA,0.2602701199219908,0.6265101690432527,2.4071536495662005
JUAZEIRO,BA,0.4235179470433357,0.6087771477671313,1.437429398251308
LAFAIETE COUTINHO,BA,0.2678791557905127,0.45774399515774844,1.7087704857324328
LAGOA REAL,BA,0.1979914182044844,0.38223659167357815,1.930571512341037
LAJE,BA,0.2601184349234309,0.5341247747930369,2.0533906985495403
LAPAO,BA,0.3101216837154297,0.7524287940197238,2.426237291779181
LAURO DE FREITAS,BA,0.49957491455985714,0.7315520157224777,1.4643489783048864
LICINIO DE ALMEIDA,BA,0.26515546738074214,0.48729521390664754,1.837771699449555
LUIS EDUARDO MAGALHAES,BA,0.3785456277824433,0.7004508598562125,1.8503736629043137
MAIRI,BA,0.3519846088745351,0.7766955637270863,2.20661797176461
MIRANTE,BA,0.34738931008032425,0.4336101041328666,1.2481964515045272
MORRO DO CHAPEU,BA,0.17966675937917476,0.5613487664608965,3.124388553567704
MUCUGE,BA,0.4196173861717396,0.5696305585063435,1.3574998969971348
NORDESTINA,BA,0.3000390004055311,0.42839194604414343,1.4277875391703452
PARAMIRIM,BA,0.27187551260227183,0.43085612934218487,1.5847551889400449
PAULO AFONSO,BA,0.2393188118363514,0.7860788069516704,3.284651135110929
PINDAI,BA,0.4101815463880345,0.5065064783207722,1.234834874413423
POCOES,BA,0.4024951625711899,0.5966092700572043,1.482276870723089
PRADO,BA,0.3948796172881188,0.6198105586127458,1.5696190217904031
PRESIDENTE DUTRA,BA,0.2556894160279315,0.32415402289401296,1.267764727729686
RIACHO DE SANTANA,BA,0.2648525630070355,0.6174148178123096,2.331164217564731
RIBEIRA DO POMBAL,BA,0.4536288438280449,0.5132374261520609,1.131403862728384
RIO DO PIRES,BA,0.29543862108911956,0.6112457634427337,2.0689433263308876
SALVADOR,BA,0.6136731404642624,0.9602962896981471,1.5648335023619475
SANTO ANTONIO DE JESUS,BA,0.313309574879268,0.4990958961703056,1.5929800305740072
